Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.488,A,3,3,2.5,-0.5,0.5235000000000001,0.02616295090390228,-0.03550000000000009
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.488,A,3,3,2.5,-0.5,0.5235000000000001,0.02616295090390228,-0.03550000000000009
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.448,A,6,5.5,4,-1.5,0.5275000000000001,0.004949747468305837,-0.07950000000000007
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.448,A,6,5.5,4,-1.5,0.5275000000000001,0.004949747468305837,-0.07950000000000007
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.452,A,2,2.5,2,-0.5,0.522,0,-0.07
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.452,A,2,2.5,2,-0.5,0.522,0,-0.07
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.564,A,6,1.5,1.5,0,0.5485,0.02050609665440982,0.015499999999999958
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.564,A,6,1.5,1.5,0,0.5485,0.02050609665440982,0.015499999999999958
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.459,A,5,2,2,0,0.5525,0.004949747468305837,-0.09349999999999997
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.459,A,5,2,2,0,0.5525,0.004949747468305837,-0.09349999999999997
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.459,A,1,2.5,1.5,-1,0.5135000000000001,0.021920310216782993,-0.05450000000000005
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.459,A,1,2.5,1.5,-1,0.5135000000000001,0.021920310216782993,-0.05450000000000005
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.501,A,1,4,3.5,-0.5,0.599,0.03252691193458122,-0.09799999999999998
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.501,A,1,4,3.5,-0.5,0.599,0.03252691193458122,-0.09799999999999998
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.396,A,7,4.5,3,-1.5,0.519,0.04666904755831218,-0.123
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.396,A,7,4.5,3,-1.5,0.519,0.04666904755831218,-0.123
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.52,A,3,3,3,0,0.589,0.05374011537017758,-0.06899999999999995
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.52,A,3,3,3,0,0.589,0.05374011537017758,-0.06899999999999995
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.505,A,1,2,2,0,0.599,0.03252691193458122,-0.09399999999999997
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.505,A,1,2,2,0,0.599,0.03252691193458122,-0.09399999999999997
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.49,A,6,2,2,0,0.5485,0.02050609665440982,-0.058499999999999996
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.49,A,6,2,2,0,0.5485,0.02050609665440982,-0.058499999999999996
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.45,A,5,3,2,-1,0.5235000000000001,0.010606601717798222,-0.07350000000000007
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.45,A,5,3,2,-1,0.5235000000000001,0.010606601717798222,-0.07350000000000007
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.531,A,2,3,2,-1,0.5745,0.00777817459305203,-0.04349999999999998
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.531,A,2,3,2,-1,0.5745,0.00777817459305203,-0.04349999999999998
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.467,A,7,2.5,2,-0.5,0.611,0.004242640687119289,-0.14399999999999996
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.467,A,7,2.5,2,-0.5,0.611,0.004242640687119289,-0.14399999999999996
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.443,A,6,5.5,5,-0.5,0.5275000000000001,0.004949747468305837,-0.08450000000000008
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.443,A,6,5.5,5,-0.5,0.5275000000000001,0.004949747468305837,-0.08450000000000008
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.465,A,8,5,4.5,-0.5,0.528,0.016970562748477157,-0.063
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.465,A,8,5,4.5,-0.5,0.528,0.016970562748477157,-0.063
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.518,A,8,2.5,2.5,0,0.5745,7.071067811865482e-4,-0.056499999999999995
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.518,A,8,2.5,2.5,0,0.5745,7.071067811865482e-4,-0.056499999999999995
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.486,A,1,2,1.5,-0.5,0.5135000000000001,0.021920310216782993,-0.02750000000000008
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.486,A,1,2,1.5,-0.5,0.5135000000000001,0.021920310216782993,-0.02750000000000008
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.509,A,4,3,2.5,-0.5,0.569,0.036769552621700424,-0.05999999999999994
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.509,A,4,3,2.5,-0.5,0.569,0.036769552621700424,-0.05999999999999994
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.48,A,2,3,3,0,0.522,0,-0.04200000000000004
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.48,A,2,3,3,0,0.522,0,-0.04200000000000004
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.484,A,7,2.5,3,0.5,0.519,0.04666904755831218,-0.03500000000000003
