Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
4_Pocillopora_sp_Espanola,4_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.561,A,4,4.5,3,-1.5,0.5609999999999999,0.011313708498984693,1.1102230246251565e-16
3_Pocillopora_sp_Espanola,3_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.534,A,3,4.5,4,-0.5,0.538,0.009899494936611674,-0.0040000000000000036
8_Pocillopora_sp_Espanola,8_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.569,A,8,5,3,-2,0.544,0.014142135623730963,0.02499999999999991
7_Pocillopora_sp_Espanola,7_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.563,A,7,4,3.5,-0.5,0.5885,0.0035355339059327407,-0.025500000000000078
8_Pavona_clavus_Espanola,8_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.486,A,8,4,3.5,-0.5,0.492,0.021213203435596444,-0.006000000000000005
1_Pavona_clavus_Espanola,1_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.48,A,1,3,3,0,0.5085,0.013435028842544414,-0.02849999999999997
1_Pocillopora_sp_Espanola,1_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.452,A,1,4.5,1.5,-3,0.58,0.004242640687119289,-0.12799999999999995
5_Pocillopora_sp_Espanola,5_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.351,A,5,4.5,2.5,-2,0.5505,0.017677669529663625,-0.1995
6_Pavona_clavus_Espanola,6_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.531,A,6,1.5,1,-0.5,0.5565,0.0021213203435596446,-0.025499999999999967
2_Pocillopora_sp_Espanola,2_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.535,A,2,4,1.5,-2.5,0.5720000000000001,0.03818376618407352,-0.03700000000000003
8_Pocillopora_sp_Espanola,8_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.507,A,8,4,1,-3,0.544,0.014142135623730963,-0.03700000000000003
1_Pavona_clavus_Espanola,1_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.417,A,1,4,1,-3,0.5085,0.013435028842544414,-0.09149999999999997
3_Pavona_clavus_Espanola,3_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.334,A,3,4,1,-3,0.5075000000000001,0.010606601717798222,-0.17350000000000004
6_Pocillopora_sp_Espanola,6_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.543,A,6,5.5,2.5,-3,0.5665,0.03181980515339459,-0.023499999999999965
8_Pavona_clavus_Espanola,8_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.459,A,8,3,1,-2,0.492,0.021213203435596444,-0.032999999999999974
4_Pavona_clavus_Espanola,4_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.378,A,4,3.5,2,-1.5,0.489,0.005656854249492385,-0.11099999999999999
7_Pavona_clavus_Espanola,7_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.387,A,7,5,1.5,-3.5,0.49050000000000005,0.03181980515339463,-0.10350000000000004
4_Pocillopora_sp_Espanola,4_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.501,A,4,5,2,-3,0.5609999999999999,0.011313708498984693,-0.05999999999999994
