Site,Species,Treatment,PAM,Replicate,Geno,Color_1,Color_2,ColorChange
Isabela,Pavona_clavus,32.5,0.555,B,6,3,2.5,-0.5
Isabela,Pavona_clavus,32.5,0.496,B,1,5.5,3,-2.5
Isabela,Pocillopora_sp,32.5,0.543,B,4,2.5,2,-0.5
Isabela,Pavona_clavus,32.5,0.558,B,5,6,5.5,-0.5
Isabela,Pocillopora_sp,32.5,0.597,B,5,3,3.5,0.5
Isabela,Pavona_clavus,32.5,0.519,B,2,6,6,0
Isabela,Pocillopora_sp,32.5,0.604,B,7,3,2.5,-0.5
Isabela,Pavona_clavus,32.5,0.538,B,7,4.5,2.5,-2
Isabela,Pocillopora_sp,32.5,0.48,B,6,3,3,0
Isabela,Pavona_clavus,32.5,0.55,B,8,3.5,2.5,-1
Isabela,Pavona_clavus,34,0.499,B,8,3.5,1.5,-2
Isabela,Pavona_clavus,34,0.498,B,2,5.5,5,-0.5
Isabela,Pocillopora_sp,34,0.581,B,6,3.5,2,-1.5
Isabela,Pocillopora_sp,34,0.608,B,4,4,3,-1
Isabela,Pocillopora_sp,34,0.456,B,5,3,3,0
Isabela,Pocillopora_sp,34,0.516,B,3,2.5,2,-0.5
Isabela,Pavona_clavus,34,0.485,B,7,5,2,-3
Isabela,Pocillopora_sp,34,0.438,B,7,2.5,2,-0.5
Isabela,Pavona_clavus,34,0.523,B,4,4.5,2,-2.5
Isabela,Pavona_clavus,34,0.539,B,1,4.5,3,-1.5
Isabela,Pavona_clavus,34,0.44,B,6,2.5,1.5,-1
Isabela,Pavona_clavus,34,0.49,B,3,4,2.5,-1.5
Isabela,Pavona_clavus,34,0.514,B,5,3,2,-1
Isabela,Pocillopora_sp,34,0.496,B,1,5.5,4,-1.5
Isabela,Pocillopora_sp,34,0.531,B,8,2.5,2,-0.5
Isabela,Pocillopora_sp,34,0.559,B,2,3,3,0
Isabela,Pocillopora_sp,35.5,0.127,B,5,3,1.5,-1.5
Isabela,Pavona_clavus,35.5,0.159,B,4,5,2.5,-2.5
Isabela,Pocillopora_sp,35.5,0.092,B,4,4,2,-2
Isabela,Pocillopora_sp,35.5,0.093,B,2,3.5,1.5,-2
Isabela,Pocillopora_sp,35.5,0.224,B,1,3,1,-2
Isabela,Pavona_clavus,35.5,0.194,B,2,6,4,-2
Isabela,Pavona_clavus,35.5,0.314,B,5,3.5,1.5,-2
Isabela,Pavona_clavus,35.5,0.226,B,6,2,2,0
Isabela,Pavona_clavus,35.5,0.123,B,3,2.5,2,-0.5
Isabela,Pavona_clavus,35.5,0.239,B,1,2,2,0
Isabela,Pocillopora_sp,35.5,0.125,B,7,2.5,1.5,-1
Isabela,Pavona_clavus,35.5,0.236,B,7,2,1.5,-0.5
Isabela,Pocillopora_sp,35.5,0.169,B,8,2.5,2,-0.5
Isabela,Pocillopora_sp,35.5,0.178,B,3,3.5,2.5,-1
Isabela,Pavona_clavus,35.5,0.124,B,8,2,3,1
Isabela,Pocillopora_sp,35.5,0.148,B,6,2.5,1.5,-1
Isabela,Pocillopora_sp,26,0.606,A,1,3.5,3.5,0
Isabela,Pavona_clavus,26,0.542,A,8,5,5,0
Isabela,Pavona_clavus,26,0.559,A,3,5,4.5,-0.5
Isabela,Pavona_clavus,26,0.527,A,2,6,6,0
Isabela,Pocillopora_sp,26,0.608,A,7,4,3.5,-0.5
Isabela,Pocillopora_sp,26,0.602,A,5,4,3.5,-0.5
Isabela,Pocillopora_sp,26,0.569,A,4,4,3.5,-0.5
